"","1","2","3","4","5","6"
"paypal",0.000422721853390054,0.000452477181869706,0.000342914119843237,0.000209288909023669,0,0
"pen",0.000229073926972273,0.000245198406670971,0,0,0,0
"peoples",0.000229073926972273,0.000245198406670971,0,0,0,0
"planet",0.000229073926972273,0.000245198406670971,0,0,0,0
"platform",0.000229073926972273,0.000245198406670971,0,0,0,0
"price",0.000144529556294262,0.00015470297029703,0,0,0.000110778774786751,0
"put",0.000229073926972273,0.000245198406670971,0,0,0,0
"qspacex",0.000144529556294262,0.00015470297029703,0.000167490159953103,0,0,0
"raincomputer",0.000229073926972273,0.000245198406670971,0,0,0,0
"ram",0.000458147853944546,0.000490396813341942,0,0,0,0
"research",0.000289059112588524,0.000309405940594059,0,0,0.000110778774786751,0
"resources",0.000289059112588524,0.000309405940594059,0,0,0.000110778774786751,0
"retoria",0.000144529556294262,0.00015470297029703,8.37450799765514e-05,0,0,0
"riley",0.000229073926972273,0.000245198406670971,0,0,0,0
"river",0.000229073926972273,0.000245198406670971,0,0,0,0
"road",0.000144529556294262,0.00015470297029703,8.37450799765514e-05,0,0,0
"roject",0.000144529556294262,0.00015470297029703,8.37450799765514e-05,0,0,0
"rolosrevenge",0.000229073926972273,0.000245198406670971,0,0,0,0
"ron",0.000229073926972273,0.000245198406670971,0,0,0,0
"rowe",0.000229073926972273,0.000245198406670971,0,0,0,0
"rvid",0.000229073926972273,0.000245198406670971,0,0,0,0
"schuster",0.000229073926972273,0.000245198406670971,0,0,0,0
"scondida",0.000229073926972273,0.000245198406670971,0,0,0,0
"seabed",0.000687221780916819,0.000735595220012913,0,0,0,0
"sean",0.000229073926972273,0.000245198406670971,0,0,0,0
"sec",0.000422721853390054,0.000452477181869706,0,0.00366255590791422,0.00187924144465642,0
"semcon",0.000373603483266535,0,0,0,0,0
"ser",0.000229073926972273,0.000245198406670971,0,0,0,0
"ses",0.000289059112588524,0.000309405940594059,0.000167490159953103,0,0,0
"sharp",0.000229073926972273,0.000245198406670971,0,0,0,0
"shepard",0.000458147853944546,0.000490396813341942,0,0,0,0
"simonite",0.000229073926972273,0.000245198406670971,0,0,0,0
"slate",0.000229073926972273,0.000245198406670971,0,0,0,0
"smoothawley",0.000229073926972273,0.000245198406670971,0,0,0,0
"space",3.80162459652831e-05,4.06922038728023e-05,0.000440556747062715,0.000141163366279317,8.7415887615086e-05,0
"spacex",0.000418178705618114,0.000447614242600825,0.00202656103648849,0.000235272277132195,0.000582772584100573,0
"stanton",0.000144529556294262,0.00015470297029703,0,0,0.000443115099147003,0
"stark",0.000229073926972273,0.000245198406670971,0,0,0,0
"stewart",0.000229073926972273,0.000245198406670971,0,0,0,0
"supercharge",0.000229073926972273,0.000245198406670971,0,0,0,0
"tariff",0.000229073926972273,0.000245198406670971,0,0,0,0
"taylor",0.000229073926972273,0.000245198406670971,0,0,0,0
"telsa",0.000229073926972273,0.000245198406670971,0,0,0,0
"tephen",0.000687221780916819,0.000735595220012913,0,0,0,0
"tesla",3.80162459652831e-05,4.06922038728023e-05,0.000198250536178222,0.00089403465310234,0.000553633954895545,0
"the",7.60324919305662e-05,8.13844077456045e-05,0.000374473235003307,4.7054455426439e-05,0.000466218067280459,0
"thiel",0.000144529556294262,0.00015470297029703,8.37450799765514e-05,0,0,0
"time",0.000144529556294262,0.00015470297029703,0,0,0.000221557549573502,0
"uang",0.000229073926972273,0.000245198406670971,0,0,0,0
"uawei",0.000229073926972273,0.000245198406670971,0,0,0,0
"uber",0.000144529556294262,0,0,0.000178890876565295,0.000110778774786751,0
"uberpool",0.000373603483266535,0,0,0,0,0
"uestion",0.000229073926972273,0.000245198406670971,0,0,0,0
"ullfactorg",0.000458147853944546,0.000490396813341942,0,0,0,0
"uman",0.000229073926972273,0.000245198406670971,0,0,0,0
"unsworth",0.000144529556294262,0.00015470297029703,0,0,0.000110778774786751,0
"use",0.000229073926972273,0.000245198406670971,0,0,0,0
"ustine",0.000229073926972273,0.000245198406670971,0,0,0,0
"vink",0.000229073926972273,0.000245198406670971,0,0,0,0
"warriors",0.000229073926972273,0.000245198406670971,0,0,0,0
"watson",0.000373603483266535,0,0,0,0,0
"wilson",0.000229073926972273,0.000245198406670971,0,0,0,0
"wood",0.000229073926972273,0.000245198406670971,0,0,0,0
"wozniak",0.000229073926972273,0.000245198406670971,0,0,0,0
"your",0.000229073926972273,0.000245198406670971,0,0,0,0
"yperloop",0.000144529556294262,0.00015470297029703,0.000334980319906205,0,0,0
"zip",0.000169088741356021,0.000180990872747882,0.00029392638843706,0.000104644454511835,0,0
"九號",8.45443706780107e-05,9.04954363739412e-05,0,0,6.48014291260835e-05,7.5187982097835e-05
"人力",7.60324919305662e-05,8.13844077456045e-05,2.20278373531357e-05,0,8.7415887615086e-05,3.38090495930326e-05
"人力資源",3.80162459652831e-05,4.06922038728023e-05,0,4.7054455426439e-05,2.91386292050287e-05,3.38090495930326e-05
"人口",0.000253633112034032,9.04954363739412e-05,4.89877314061767e-05,0,0,7.5187982097835e-05
"人士",0.000152064983861132,0.000122076611618407,6.60835120594072e-05,0.000282326732558634,0.000116554516820115,0
"人工智能",0.00371995230983247,0.00389130376407947,0.000930766896717358,0,0,7.5187982097835e-05
"人之云瑰",0.000144529556294262,0.00015470297029703,0,0,0,0.00012853470437018
"人民",3.80162459652831e-05,4.06922038728023e-05,6.60835120594072e-05,0,2.91386292050287e-05,3.38090495930326e-05
"人民網",0.000289059112588524,0.000309405940594059,0,0,0,0.00012853470437018
"人生",3.80162459652831e-05,4.06922038728023e-05,6.60835120594072e-05,0,8.7415887615086e-05,3.38090495930326e-05
"人用過",0.000229073926972273,0,0,0,0,0.000203722686468015
"人性",8.45443706780107e-05,9.04954363739412e-05,0.000195950925624707,0,0,7.5187982097835e-05
